trimId,trim_name
t58827,535i xDrive Sedan
t75579,GLC 300 4MATIC
t69303,440i xDrive Convertible
t86724,Sahara Altitude
t68609,GLE 400 4MATIC
t86502,Work Truck
t75599,GLS 450
t69358,330i xDrive
t82437,530e xDrive iPerformance Sedan
t75195,xDrive35i
t18043,CE
t88269,Premier
t74104,L 3.0T quattro
t85764,LT Cloth
t34442,EX-L
t91870,Z71
t74036,C 300 Sport 4MATIC
t86870,3500 Extended RWD
t75361,E 400 4MATIC Coupe
t89902,Big Horn Crew Cab LB DRW
t37198,EX
t80431,2.0T
t49300,AWD
t86038,Luxury
t86030,Luxury
t85757,LT Cloth
t89774,3.6L Luxury
t59691,EX
t59635,GLE 350 4MATIC
t75600,GLS 550
t11127,Work Truck LB
t68949,xDrive50i
t42052,LE 7-Passenger
t67375,LS
t86039,Platinum
t5997,LX
t80448,Premium Luxury
t17848,LE
t35707,2.5i Premium
t73967,xDrive35i
t25173,LE
t89157,Laramie Crew Cab
t38763,X
t72487,Worker Passenger
t40154,C 300 Sport 4MATIC
t69085,535i xDrive
t49189,2.5i Sport
t86933,Laramie Crew Cab LB
t54707,XLT
t58833,528i xDrive Sedan
t80432,2.0T Luxury
t55980,GL 550
t67185,C AMG 43 Cabriolet
t69186,Big Horn Crew Cab
t67306,740i xDrive
t94172,Sahara High Altitude
t57436,3.0T quattro Premium Plus Sedan
t67421,Premier
t69305,FWD
t67979,C AMG 43
t68700,SXT
t75493,330i xDrive
t68098,FWD
t54785,SLE-1
t74878,LT Crew Cab
t69307,Premium
t54690,AWD with Technology Package
t82849,S 450 4MATIC
t70181,R/T Scat Pack RWD
t82384,LT Leather
t68319,SE
t51867,Limited
t83563,LXS
t68705,Sport
t60120,SRT 392 RWD
t51322,Base
t73108,S 4Motion
t38548,EX-L
t76251,S 3.0L
t68368,AWD
t58837,RWD
t59732,LX
t39454,V6 Premium Convertible RWD
t75317,GT
t54654,xDrive28i
t59994,LT Double Cab
t76526,2017.5 S
t57442,4.0T quattro Prestige
t69250,SR
t68523,SV
t86025,Premium Luxury
t56929,2.0T quattro Premium Plus
t58158,LS
t75279,Premium Luxury
t89890,Laramie Crew Cab LB DRW
t52192,
t59008,SE
t67384,C 300
t75489,330i xDrive Sedan
t53228,S Plus
t56626,C 300 4MATIC
t58086,2.0T Premium
t68948,xDrive35i
t70459,GLE AMG 43 4MATIC
t52197,FWD
t69717,SE Hatchback
t67069,Select
t67174,Willys Wheeler
t65898,Luxury
t59929,Limited
t68134,Platinum
t89194,Tradesman Crew Cab LB
t69426,1.8T SE
t58950,4 Edition
t85686,SEL Sedan
t69299,430i xDrive Gran Coupe
t60474,SV
t49166,SRT
t10718,Convertible RWD
t58501,SLT1
t67669,E AMG 43 4MATIC
t72791,GT
t82838,R/T RWD
t68989,1.6T Sport
t41163,3.2 quattro Premium Plus
t73246,430i xDrive Coupe
t58995,320i Sedan RWD
t57247,E 350 4MATIC Wagon
t86722,Rubicon
t68163,Premier
t44523,1LS Coupe RWD
t65705,3.8 Ultimate RWD with Black Interior
t68115,2.5 SL
t67438,SLE1
t87015,2.5 S
t70107,F Sport
t72978,2.0T Premium
t58835,Coupe RWD
t67419,LS
t76176,Passenger
t82619,GT
t83964,SE
t43488,SEL
t69537,XL SuperCab
t69484,LX
t57900,XLT SuperCab LB
t69089,750i xDrive
t69633,XL SuperCrew
t33753,1500 LTZ
t82263,SXT
t68984,Sport
t67144,Sport
t53896,3.8 Grand Touring RWD
t69425,1.8T S
t79029,2018.5 S
t66218,SE
t69214,Sport Crew Cab
t66967,SE
t67717,S
t83905,2.5 SL
t68114,2.5 S
t57972,xDrive28i
t75936,640i xDrive
t83399,SR
t90984,Laramie Crew Cab LWB DRW
t43849,Touring
t44114,S
t77975,SH-AWD with Technology Package
t75594,C 300
t91087,Rubicon Recon
t68142,S
t58008,2.0T quattro Premium Sedan
t42800,GL 550
t56736,V6 HSE
