sp_id,sp_name
53854,Walker Chevrolet
53860,Dutch Miller Chevrolet Hyundai
53863,King Coal Chevrolet
53866,Warner Kia
53872,Bell Chevrolet
53877,Harry Green Chevrolet
53881,University Toyota
53905,Holz Motors
53911,Roger Palmen Chevrolet
53914,Andrew Chevrolet
53915,Lake Chevrolet
53963,Len Dudas Motors
54012,Team One Toyota of Gadsden
54025,Avondale Toyota
54026,Bell Road Toyota
54042,Steve Landers Toyota
54071,Thousand Oaks Toyota
54130,Concord Toyota
54155,Folsom Lake Toyota
54179,Curry Toyota CT
54183,Gale Toyota
54185,Torrington Toyota
54186,Hartford Toyota Super Store
54188,Middletown Toyota
54190,Toyota of Colchester
54192,Toyota of Stamford
54193,Wow Toyota of Wallingford
54194,New Country Toyota of Westport
54196,Hertrich Toyota of Milford
54198,Price Toyota
54240,Cherokee County Toyota
54264,Peterson Toyota
54269,Wills Toyota
54272,Bredemann Toyota
54273,Chicago Northside Toyota
54276,Coronet Dodge Chrysler Jeep Ram
54280,Sam Leman Toyota
54282,Elmhurst Toyota
54290,Lombard Toyota
54292,Napleton's Auto Park Urbana
54295,Orland Toyota
54298,Gerald Toyota of Matteson
54299,Advantage Toyota of River Oaks
54301,Romeoville Toyota
54303,Toyota On Western
54311,Heart City Toyota
54312,Jordan Toyota
54318,Tom Wood Toyota
54319,Toyota of Merrillville
54329,Dan Deery Dodge Chrysler Jeep
54354,Toyota of Bowling Green
54355,Kerry Toyota
54380,Toyota of New Orleans
54384,Yokem Toyota
54386,Charlie's Toyota
54387,Downeast Toyota
54391,Shepard Toyota
54392,Berlin City Toyota of Portland
54395,DARCARS Toyota of Baltimore
54397,DARCARS Toyota of Silver Spring
54398,Fitzgerald Toyota Gaithersburg
54399,Jim Coleman Toyota
54400,Koons Annapolis Toyota
54401,Koons Westminster Toyota
54404,Koons Easton Toyota
54406,Heritage Toyota Owings Mills
54411,Brown's Toyota of Glen Burnie
54413,Waldorf Toyota
54415,Atlantic Toyota
54418,Boch Toyota
54419,Copeland Toyota
54422,Harr Toyota
54428,Lexington Toyota
54429,Lia Toyota of Wilbraham
54430,Lia Toyota of Northampton
54433,Route 44 Toyota
54434,Sullivan Brothers Toyota
54440,Woburn Toyota
54447,Kool Toyota
54449,Labadie Toyota
54454,Riverside Toyota in Escanaba
54458,Spartan Toyota
54460,Sunshine Toyota
54462,Toyota of Grand Rapids
54473,Rochester Toyota
54475,St Cloud Toyota
54490,Coad Toyota
54491,Jay Wolfe Toyota
54496,Reliable Superstore
54511,Corwin Toyota of Bellevue
54533,Toyota of Portsmouth
54534,Paul Miller Toyota of West Caldwell
54538,DCH Freehold Toyota
54539,Galaxy Toyota
54543,Shore Toyota Inc
54544,Towne Toyota
54545,Toyota of Hackensack
54564,Capital Jaguar Land Rover Volvo of Albany
54565,Advantage Toyota
54567,Basil Toyota
54568,Bay Ridge Toyota
54571,Gault Auto Mall
54574,Interstate Toyota
54575,Jack Sherman Toyota
54579,LeBrun Toyota
54586,Penn Toyota Limited Worldwide Auto Outlet
54590,Lia Toyota of Rockland
54592,Smithtown Toyota
54597,Steet Toyota of Yorkville
54600,Rivera Toyota of Mt. Kisco
54601,Toyota of Batavia
54603,Rocky Mount Toyota
54604,Discovery Toyota
54607,Fred Anderson Toyota
54608,Deacon Jones Toyota
54609,Greenville Toyota
54610,Fred Anderson Toyota of Asheville
54611,Leith Toyota
54615,Rice Toyota
54621,Hall Toyota of Elizabeth City
54622,Toyota of Gastonia
54623,Toyota of Goldsboro
54625,Toyota of North Charlotte
54627,Flow Toyota of Statesville
54629,Classic Toyota of North Wilkesboro
54641,Classic Toyota
54642,Coughlin Nissan
54643,Don Joseph Toyota
54645,Ferris Chevrolet Buick Cadillac and Toyota
54646,Ganley Toyota
54651,Joseph Airport Toyota
54654,McDaniel Toyota
54659,Premier Toyota of Amherst
54662,Sunnyside Toyota
54663,Tansky Sawmill Toyota
54666,Toyota Direct
54668,Toyota of Boardman
54672,Toyota West
54697,Lithia Toyota of Springfield
54705,Toyota of Gladstone
54708,Allegheny Toyota
54711,Baierl Toyota
54714,Team Toyota of Glen Mills
54724,Ciocca Toyota of Williamsport
54725,Faulkner Toyota
54726,Faulkner Toyota Trevose
54731,Halterman's Toyota
54732,Hanover Toyota
54734,Independence Toyota
